days, cars_request, car1, car2, car3, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
163, 3, 1, 1, 3, 3, 0, 2, 1050, 0, 400
164, 4, 2, 2, 2, 3, 0, 2, 1050, 0, 400
165, 3, 1, 1, 1, 3, 0, 3, 1050, 0, 600
166, 2, 2, 1, 0, 2, 1, 1, 700, 50, 0
167, 4, 1, 1, 3, 3, 0, 2, 1050, 0, 400
168, 2, 2, 3, 2, 3, 0, 0, 1050, 0, 0
169, 0, 1, 2, 1, 3, 0, 0, 1050, 0, 0
170, 4, 1, 1, 2, 3, 0, 2, 1050, 0, 400
171, 3, 2, 1, 1, 3, 0, 1, 1050, 0, 200
172, 3, 1, 3, 2, 3, 0, 1, 1050, 0, 200
173, 0, 0, 2, 1, 2, 1, 1, 700, 50, 0
174, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
175, 2, 1, 2, 0, 2, 1, 1, 700, 50, 0
176, 3, 2, 1, 2, 3, 0, 1, 1050, 0, 200
177, 4, 1, 4, 1, 3, 0, 3, 1050, 0, 600
178, 3, 1, 3, 4, 3, 0, 1, 1050, 0, 200
179, 1, 1, 2, 3, 3, 0, 0, 1050, 0, 0
180, 1, 1, 1, 2, 3, 0, 0, 1050, 0, 0
181, 3, 2, 1, 1, 3, 0, 1, 1050, 0, 200
182, 4, 1, 2, 1, 3, 0, 2, 1050, 0, 400
183, 4, 1, 1, 2, 3, 0, 2, 1050, 0, 400
184, 4, 3, 1, 1, 3, 0, 2, 1050, 0, 400
185, 1, 2, 2, 0, 2, 1, 1, 700, 50, 0
186, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
187, 2, 3, 1, 0, 2, 1, 1, 700, 50, 0
188, 3, 2, 4, 2, 3, 0, 1, 1050, 0, 200
189, 2, 1, 3, 1, 3, 0, 2, 1050, 0, 400
190, 4, 2, 2, 2, 3, 0, 2, 1050, 0, 400
191, 2, 1, 1, 1, 3, 0, 2, 1050, 0, 400
192, 2, 2, 1, 0, 2, 1, 1, 700, 50, 0
193, 2, 1, 1, 1, 3, 0, 0, 1050, 0, 0
194, 4, 3, 1, 1, 3, 0, 1, 1050, 0, 200
195, 2, 2, 1, 2, 3, 0, 0, 1050, 0, 0
196, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
197, 4, 1, 1, 3, 3, 0, 1, 1050, 0, 200
198, 0, 0, 0, 2, 1, 2, 2, 350, 100, 0
199, 0, 0, 0, 1, 1, 2, 2, 350, 100, 0
200, 3, 2, 1, 2, 3, 0, 0, 1050, 0, 0
201, 4, 1, 2, 1, 3, 0, 3, 1050, 0, 600
202, 2, 1, 1, 3, 3, 0, 0, 1050, 0, 0
203, 4, 3, 2, 2, 3, 0, 2, 1050, 0, 400
204, 0, 2, 1, 1, 3, 0, 0, 1050, 0, 0
205, 3, 1, 3, 1, 3, 0, 1, 1050, 0, 200
206, 2, 1, 2, 3, 3, 0, 0, 1050, 0, 0
207, 4, 2, 1, 2, 3, 0, 3, 1050, 0, 600
208, 0, 1, 0, 1, 2, 1, 1, 700, 50, 0
209, 4, 1, 1, 4, 3, 0, 1, 1050, 0, 200
210, 2, 3, 1, 3, 3, 0, 0, 1050, 0, 0
211, 3, 2, 1, 2, 3, 0, 2, 1050, 0, 400
212, 4, 1, 3, 1, 3, 0, 3, 1050, 0, 600
213, 4, 3, 2, 2, 3, 0, 2, 1050, 0, 400
214, 4, 2, 1, 1, 3, 0, 4, 1050, 0, 800
215, 3, 1, 2, 4, 3, 0, 1, 1050, 0, 200
216, 3, 1, 1, 3, 3, 0, 2, 1050, 0, 400
217, 3, 1, 2, 2, 3, 0, 1, 1050, 0, 200
218, 3, 3, 1, 1, 3, 0, 2, 1050, 0, 400
219, 2, 2, 3, 2, 3, 0, 0, 1050, 0, 0
220, 3, 1, 2, 1, 3, 0, 3, 1050, 0, 600
221, 3, 3, 1, 3, 3, 0, 1, 1050, 0, 200
222, 3, 2, 2, 2, 3, 0, 2, 1050, 0, 400
223, 3, 1, 1, 1, 3, 0, 3, 1050, 0, 600
224, 4, 2, 1, 2, 3, 0, 1, 1050, 0, 200
225, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
226, 4, 3, 2, 1, 3, 0, 1, 1050, 0, 200
227, 0, 2, 1, 0, 2, 1, 1, 700, 50, 0
228, 3, 1, 4, 2, 3, 0, 1, 1050, 0, 200
229, 1, 3, 3, 1, 3, 0, 0, 1050, 0, 0
230, 1, 2, 2, 1, 3, 0, 0, 1050, 0, 0
231, 3, 1, 1, 4, 3, 0, 2, 1050, 0, 400
232, 3, 1, 4, 3, 3, 0, 1, 1050, 0, 200
233, 2, 4, 3, 2, 3, 0, 1, 1050, 0, 200
234, 4, 3, 2, 1, 3, 0, 4, 1050, 0, 800
235, 2, 2, 1, 1, 3, 0, 1, 1050, 0, 200
236, 2, 1, 1, 3, 3, 0, 0, 1050, 0, 0
237, 4, 4, 1, 2, 3, 0, 2, 1050, 0, 400
238, 4, 3, 1, 1, 3, 0, 3, 1050, 0, 600
239, 2, 2, 3, 3, 3, 0, 0, 1050, 0, 0
240, 3, 1, 2, 2, 3, 0, 3, 1050, 0, 600
241, 2, 1, 1, 1, 3, 0, 1, 1050, 0, 200
242, 4, 2, 1, 1, 3, 0, 1, 1050, 0, 200
243, 3, 1, 1, 1, 3, 0, 1, 1050, 0, 200
244, 4, 2, 2, 1, 3, 0, 1, 1050, 0, 200
245, 3, 1, 1, 1, 3, 0, 2, 1050, 0, 400
246, 3, 3, 2, 1, 3, 0, 0, 1050, 0, 0
247, 4, 2, 1, 1, 3, 0, 3, 1050, 0, 600
248, 0, 1, 0, 0, 1, 2, 2, 350, 100, 0
249, 2, 2, 3, 0, 2, 1, 1, 700, 50, 0
250, 3, 1, 2, 1, 3, 0, 2, 1050, 0, 400
251, 2, 1, 1, 2, 3, 0, 0, 1050, 0, 0
252, 4, 2, 1, 1, 3, 0, 2, 1050, 0, 400
253, 2, 1, 3, 3, 3, 0, 0, 1050, 0, 0
254, 2, 3, 2, 2, 3, 0, 1, 1050, 0, 200
255, 0, 2, 1, 1, 3, 0, 0, 1050, 0, 0
256, 2, 1, 1, 2, 3, 0, 0, 1050, 0, 0
257, 0, 0, 0, 1, 1, 2, 2, 350, 100, 0
258, 3, 1, 1, 4, 3, 0, 0, 1050, 0, 0
259, 0, 0, 0, 3, 1, 2, 2, 350, 100, 0
260, 2, 3, 1, 2, 3, 0, 0, 1050, 0, 0
261, 2, 2, 3, 1, 3, 0, 1, 1050, 0, 200
