days, cars_request, car1, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
243, 4, 3, 1, 0, 4, 350, 0, 800
244, 3, 2, 1, 0, 3, 350, 0, 600
245, 3, 1, 1, 0, 3, 350, 0, 600
246, 4, 2, 1, 0, 3, 350, 0, 600
247, 2, 1, 1, 0, 2, 350, 0, 400
248, 3, 2, 1, 0, 2, 350, 0, 400
249, 1, 1, 1, 0, 1, 350, 0, 200
250, 3, 1, 1, 0, 2, 350, 0, 400
251, 2, 1, 1, 0, 1, 350, 0, 200
252, 0, 0, 0, 1, 0, 0, 50, 0
253, 4, 3, 1, 0, 3, 350, 0, 600
254, 1, 2, 1, 0, 1, 350, 0, 200
255, 3, 1, 1, 0, 3, 350, 0, 600
256, 0, 0, 0, 1, 0, 0, 50, 0
257, 4, 1, 1, 0, 3, 350, 0, 600
258, 2, 2, 1, 0, 1, 350, 0, 200
259, 2, 1, 1, 0, 2, 350, 0, 400
260, 4, 2, 1, 0, 3, 350, 0, 600
261, 3, 1, 1, 0, 3, 350, 0, 600
262, 1, 1, 1, 0, 0, 350, 0, 0
263, 2, 3, 1, 0, 1, 350, 0, 200
264, 2, 2, 1, 0, 2, 350, 0, 400
265, 2, 1, 1, 0, 2, 350, 0, 400
266, 3, 1, 1, 0, 2, 350, 0, 400
267, 1, 1, 1, 0, 0, 350, 0, 0
268, 2, 1, 1, 0, 1, 350, 0, 200
269, 4, 1, 1, 0, 3, 350, 0, 600
270, 2, 2, 1, 0, 1, 350, 0, 200
271, 3, 1, 1, 0, 3, 350, 0, 600
272, 4, 2, 1, 0, 3, 350, 0, 600
273, 4, 1, 1, 0, 4, 350, 0, 800
274, 2, 3, 1, 0, 1, 350, 0, 200
275, 2, 2, 1, 0, 2, 350, 0, 400
276, 2, 1, 1, 0, 2, 350, 0, 400
277, 1, 3, 1, 0, 0, 350, 0, 0
278, 3, 2, 1, 0, 3, 350, 0, 600
279, 2, 1, 1, 0, 2, 350, 0, 400
280, 2, 1, 1, 0, 1, 350, 0, 200
281, 4, 1, 1, 0, 3, 350, 0, 600
282, 4, 2, 1, 0, 3, 350, 0, 600
283, 4, 1, 1, 0, 4, 350, 0, 800
284, 2, 4, 1, 0, 1, 350, 0, 200
285, 4, 3, 1, 0, 4, 350, 0, 800
286, 2, 2, 1, 0, 2, 350, 0, 400
287, 3, 1, 1, 0, 3, 350, 0, 600
288, 3, 2, 1, 0, 2, 350, 0, 400
289, 4, 1, 1, 0, 4, 350, 0, 800
290, 2, 3, 1, 0, 1, 350, 0, 200
291, 2, 2, 1, 0, 2, 350, 0, 400
292, 2, 1, 1, 0, 2, 350, 0, 400
293, 4, 1, 1, 0, 3, 350, 0, 600
294, 4, 1, 1, 0, 3, 350, 0, 600
295, 4, 1, 1, 0, 3, 350, 0, 600
296, 0, 0, 0, 1, 0, 0, 50, 0
297, 3, 2, 1, 0, 2, 350, 0, 400
298, 3, 1, 1, 0, 3, 350, 0, 600
299, 3, 1, 1, 0, 2, 350, 0, 400
300, 3, 1, 1, 0, 2, 350, 0, 400
301, 2, 1, 1, 0, 1, 350, 0, 200
302, 3, 2, 1, 0, 2, 350, 0, 400
303, 3, 1, 1, 0, 3, 350, 0, 600
304, 1, 2, 1, 0, 0, 350, 0, 0
305, 4, 1, 1, 0, 4, 350, 0, 800
306, 3, 1, 1, 0, 2, 350, 0, 400
307, 3, 1, 1, 0, 2, 350, 0, 400
308, 3, 2, 1, 0, 2, 350, 0, 400
309, 2, 1, 1, 0, 2, 350, 0, 400
310, 4, 4, 1, 0, 3, 350, 0, 600
311, 2, 3, 1, 0, 2, 350, 0, 400
312, 3, 2, 1, 0, 3, 350, 0, 600
313, 3, 1, 1, 0, 3, 350, 0, 600
314, 3, 1, 1, 0, 2, 350, 0, 400
315, 0, 0, 0, 1, 0, 0, 50, 0
316, 4, 3, 1, 0, 3, 350, 0, 600
317, 4, 2, 1, 0, 4, 350, 0, 800
318, 0, 1, 1, 0, 0, 350, 0, 0
319, 3, 1, 1, 0, 2, 350, 0, 400
320, 1, 2, 1, 0, 0, 350, 0, 0
321, 2, 1, 1, 0, 2, 350, 0, 400
322, 0, 0, 0, 1, 0, 0, 50, 0
323, 3, 2, 1, 0, 2, 350, 0, 400
