days, cars_request, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
318, 4, 0, 0, 4, 0, 0, 800
319, 3, 0, 0, 3, 0, 0, 600
320, 2, 0, 0, 2, 0, 0, 400
321, 2, 0, 0, 2, 0, 0, 400
322, 2, 0, 0, 2, 0, 0, 400
323, 2, 0, 0, 2, 0, 0, 400
324, 3, 0, 0, 3, 0, 0, 600
325, 1, 0, 0, 1, 0, 0, 200
326, 3, 0, 0, 3, 0, 0, 600
327, 4, 0, 0, 4, 0, 0, 800
328, 2, 0, 0, 2, 0, 0, 400
329, 0, 0, 0, 0, 0, 0, 0
330, 4, 0, 0, 4, 0, 0, 800
331, 4, 0, 0, 4, 0, 0, 800
332, 4, 0, 0, 4, 0, 0, 800
333, 3, 0, 0, 3, 0, 0, 600
334, 3, 0, 0, 3, 0, 0, 600
335, 3, 0, 0, 3, 0, 0, 600
336, 4, 0, 0, 4, 0, 0, 800
337, 4, 0, 0, 4, 0, 0, 800
338, 3, 0, 0, 3, 0, 0, 600
339, 4, 0, 0, 4, 0, 0, 800
340, 3, 0, 0, 3, 0, 0, 600
341, 4, 0, 0, 4, 0, 0, 800
342, 3, 0, 0, 3, 0, 0, 600
343, 3, 0, 0, 3, 0, 0, 600
344, 3, 0, 0, 3, 0, 0, 600
345, 3, 0, 0, 3, 0, 0, 600
346, 3, 0, 0, 3, 0, 0, 600
347, 4, 0, 0, 4, 0, 0, 800
348, 2, 0, 0, 2, 0, 0, 400
349, 3, 0, 0, 3, 0, 0, 600
350, 4, 0, 0, 4, 0, 0, 800
351, 4, 0, 0, 4, 0, 0, 800
352, 4, 0, 0, 4, 0, 0, 800
353, 2, 0, 0, 2, 0, 0, 400
354, 3, 0, 0, 3, 0, 0, 600
355, 1, 0, 0, 1, 0, 0, 200
356, 3, 0, 0, 3, 0, 0, 600
357, 3, 0, 0, 3, 0, 0, 600
358, 0, 0, 0, 0, 0, 0, 0
359, 2, 0, 0, 2, 0, 0, 400
360, 0, 0, 0, 0, 0, 0, 0
361, 4, 0, 0, 4, 0, 0, 800
362, 4, 0, 0, 4, 0, 0, 800
363, 2, 0, 0, 2, 0, 0, 400
364, 2, 0, 0, 2, 0, 0, 400
365, 3, 0, 0, 3, 0, 0, 600
