days, cars_request, car1, car2, car3, car4, cars_rented, cars_idle, cars_no_rent, costs_rents, costs_idle, costs_no_rent
40, 2, 2, 2, 0, 0, 2, 2, 0, 700, 100, 0
41, 1, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
42, 0, 0, 0, 0, 0, 0, 4, 0, 0, 200, 0
43, 2, 3, 1, 0, 0, 2, 2, 0, 700, 100, 0
44, 2, 2, 3, 2, 0, 3, 1, 0, 1050, 50, 0
45, 0, 1, 2, 1, 0, 3, 1, 0, 1050, 50, 0
46, 2, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
47, 3, 3, 3, 1, 0, 3, 1, 0, 1050, 50, 0
48, 1, 2, 2, 1, 0, 3, 1, 0, 1050, 50, 0
49, 4, 1, 1, 3, 4, 4, 0, 2, 1400, 0, 400
50, 3, 2, 1, 2, 3, 4, 0, 1, 1400, 0, 200
51, 3, 1, 2, 1, 2, 4, 0, 2, 1400, 0, 400
52, 3, 1, 1, 2, 1, 4, 0, 1, 1400, 0, 200
53, 2, 2, 1, 1, 0, 3, 1, 0, 1050, 50, 0
54, 4, 1, 4, 1, 1, 4, 0, 1, 1400, 0, 200
55, 2, 3, 3, 1, 0, 3, 1, 0, 1050, 50, 0
56, 3, 2, 2, 1, 2, 4, 0, 1, 1400, 0, 200
57, 4, 1, 1, 4, 1, 4, 0, 3, 1400, 0, 600
58, 2, 1, 1, 3, 0, 3, 1, 0, 1050, 50, 0
59, 4, 4, 2, 2, 1, 4, 0, 1, 1400, 0, 200
60, 3, 3, 1, 1, 1, 4, 0, 2, 1400, 0, 400
61, 2, 2, 1, 1, 0, 3, 1, 0, 1050, 50, 0
62, 3, 1, 2, 1, 2, 4, 0, 0, 1400, 0, 0
63, 1, 2, 1, 0, 1, 3, 1, 0, 1050, 50, 0
64, 4, 1, 2, 2, 1, 4, 0, 1, 1400, 0, 200
65, 0, 0, 1, 1, 0, 2, 2, 0, 700, 100, 0
66, 4, 2, 1, 1, 3, 4, 0, 0, 1400, 0, 0
67, 3, 1, 1, 2, 2, 4, 0, 1, 1400, 0, 200
68, 3, 1, 2, 1, 1, 4, 0, 1, 1400, 0, 200
69, 2, 1, 1, 2, 0, 3, 1, 0, 1050, 50, 0
70, 0, 0, 0, 1, 0, 1, 3, 0, 350, 150, 0
71, 3, 4, 1, 1, 0, 3, 1, 0, 1050, 50, 0
72, 4, 3, 4, 2, 3, 4, 0, 1, 1400, 0, 200
73, 3, 2, 3, 1, 2, 4, 0, 3, 1400, 0, 600
74, 2, 1, 2, 1, 1, 4, 0, 1, 1400, 0, 200
75, 1, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
76, 4, 2, 2, 1, 2, 4, 0, 0, 1400, 0, 0
77, 3, 1, 1, 1, 1, 4, 0, 2, 1400, 0, 400
78, 2, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
79, 4, 1, 2, 4, 1, 4, 0, 0, 1400, 0, 0
80, 4, 1, 1, 3, 1, 4, 0, 2, 1400, 0, 400
81, 3, 2, 1, 2, 3, 4, 0, 0, 1400, 0, 0
82, 3, 1, 1, 1, 2, 4, 0, 2, 1400, 0, 400
83, 0, 0, 0, 0, 1, 1, 3, 0, 350, 150, 0
84, 3, 1, 4, 1, 0, 3, 1, 0, 1050, 50, 0
85, 4, 1, 3, 2, 1, 4, 0, 1, 1400, 0, 200
86, 2, 1, 2, 1, 1, 4, 0, 0, 1400, 0, 0
87, 3, 2, 1, 1, 2, 4, 0, 0, 1400, 0, 0
88, 3, 1, 1, 2, 1, 4, 0, 1, 1400, 0, 200
89, 2, 2, 2, 1, 0, 3, 1, 0, 1050, 50, 0
90, 1, 1, 1, 1, 0, 3, 1, 0, 1050, 50, 0
91, 2, 3, 2, 0, 0, 2, 2, 0, 700, 100, 0
92, 2, 2, 1, 3, 1, 4, 0, 0, 1400, 0, 0
93, 2, 1, 4, 2, 2, 4, 0, 0, 1400, 0, 0
94, 4, 1, 3, 1, 1, 4, 0, 3, 1400, 0, 600
95, 2, 1, 2, 1, 0, 3, 1, 0, 1050, 50, 0
96, 3, 1, 1, 1, 3, 4, 0, 0, 1400, 0, 0
97, 3, 2, 4, 1, 2, 4, 0, 0, 1400, 0, 0
98, 3, 1, 3, 4, 1, 4, 0, 2, 1400, 0, 400
99, 4, 2, 2, 3, 2, 4, 0, 2, 1400, 0, 400
100, 0, 1, 1, 2, 1, 4, 0, 0, 1400, 0, 0
101, 4, 2, 3, 1, 2, 4, 0, 1, 1400, 0, 200
102, 3, 1, 2, 1, 1, 4, 0, 2, 1400, 0, 400
103, 4, 2, 1, 2, 3, 4, 0, 1, 1400, 0, 200
104, 3, 1, 4, 1, 2, 4, 0, 2, 1400, 0, 400
105, 3, 1, 3, 3, 1, 4, 0, 1, 1400, 0, 200
106, 1, 4, 2, 2, 0, 3, 1, 0, 1050, 50, 0
107, 4, 3, 1, 1, 4, 4, 0, 3, 1400, 0, 600
108, 2, 2, 2, 4, 3, 4, 0, 0, 1400, 0, 0
109, 1, 1, 1, 3, 2, 4, 0, 1, 1400, 0, 200
110, 4, 1, 1, 2, 1, 4, 0, 2, 1400, 0, 400
111, 0, 0, 0, 1, 0, 1, 3, 0, 350, 150, 0
112, 2, 1, 1, 0, 0, 2, 2, 0, 700, 100, 0
113, 3, 2, 2, 2, 0, 3, 1, 0, 1050, 50, 0
114, 1, 1, 1, 1, 2, 4, 0, 0, 1400, 0, 0
115, 4, 2, 4, 2, 1, 4, 0, 1, 1400, 0, 200
116, 2, 1, 3, 1, 2, 4, 0, 1, 1400, 0, 200
117, 1, 2, 2, 0, 1, 3, 1, 0, 1050, 50, 0
118, 4, 1, 1, 2, 1, 4, 0, 2, 1400, 0, 400
